uid,Nudge,Lever,Ramp,Pendulum,Springboard,Down Hill,Lead the Ball,Chocolate Factory,Around the Tree,Big Watermill,Sunny Day,Wavy,On the Upswing,Shark,One at a time,Scale,Cloudy Day,Crazy Seesaw,Roller coaster,Uphill Battle,Little Mermaid,Ultimate Pinball,Yippie!,Diving Board,Stiff Curtains,Diving Board World,Need Fulcrum,Timing is Everything,Perfect Toss,Up in the Air,Spider Web,Can Opener,quit,silver,gold
A0426,silver,silver,silver,silver,silver,silver,gold,quit,quit,quit,NA,NA,NA,quit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quit,NA,quit,NA,NA,NA,6,6,1
F1337,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,NA,NA,NA,quit,gold,NA,NA,silver,NA,NA,NA,NA,NA,NA,silver,NA,NA,NA,NA,NA,NA,NA,1,7,6
A2901,silver,silver,silver,silver,silver,gold,gold,silver,gold,quit,silver,quit,gold,quit,gold,gold,silver,quit,gold,NA,quit,NA,quit,NA,quit,NA,NA,gold,NA,quit,quit,silver,9,9,8
A0471,silver,silver,silver,silver,silver,gold,silver,NA,NA,quit,silver,quit,NA,NA,NA,NA,NA,NA,quit,NA,NA,NA,NA,quit,quit,quit,quit,NA,quit,NA,NA,NA,8,7,1
A2967,silver,silver,silver,silver,silver,gold,gold,gold,silver,gold,NA,silver,quit,quit,gold,gold,NA,silver,silver,NA,NA,NA,NA,NA,silver,quit,silver,silver,silver,silver,NA,silver,3,15,6
E2361,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,NA,quit,gold,quit,gold,silver,quit,quit,NA,quit,silver,quit,silver,quit,quit,NA,NA,NA,NA,NA,quit,NA,10,8,6
E3003,silver,silver,silver,silver,silver,gold,gold,gold,quit,silver,gold,gold,silver,quit,gold,gold,silver,silver,gold,silver,quit,silver,gold,silver,gold,NA,silver,NA,quit,NA,gold,gold,4,13,12
E1618,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,silver,quit,gold,gold,gold,gold,gold,quit,quit,gold,NA,NA,NA,gold,NA,3,6,19
D1078,silver,silver,silver,silver,silver,gold,gold,silver,gold,silver,gold,gold,gold,silver,gold,gold,silver,silver,NA,silver,silver,quit,gold,silver,silver,NA,NA,NA,NA,NA,gold,NA,1,14,10
A1685,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,silver,silver,NA,NA,NA,NA,NA,NA,silver,silver,silver,NA,NA,NA,NA,NA,0,10,11
F1528,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,quit,NA,NA,quit,gold,gold,NA,quit,NA,NA,NA,NA,NA,NA,quit,quit,gold,quit,quit,NA,NA,NA,8,5,7
F1562,silver,silver,silver,silver,silver,silver,gold,gold,quit,quit,quit,NA,NA,silver,gold,silver,NA,gold,NA,NA,NA,NA,NA,NA,silver,NA,gold,silver,silver,silver,NA,silver,3,13,5
A1753,silver,silver,silver,silver,silver,silver,gold,gold,quit,gold,NA,silver,gold,silver,silver,silver,silver,silver,quit,silver,quit,quit,quit,quit,silver,quit,gold,quit,quit,silver,gold,silver,9,16,6
D1696,silver,silver,silver,silver,silver,gold,gold,silver,gold,quit,silver,silver,gold,quit,gold,gold,gold,gold,NA,silver,silver,quit,gold,quit,silver,quit,quit,gold,quit,quit,gold,quit,9,11,11
A1663,silver,silver,silver,silver,silver,gold,gold,gold,quit,NA,NA,NA,NA,quit,NA,NA,NA,quit,quit,NA,NA,NA,NA,NA,quit,quit,quit,quit,quit,quit,NA,NA,10,5,3
C1135,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,NA,NA,NA,silver,gold,gold,NA,silver,gold,NA,NA,NA,NA,NA,gold,silver,silver,gold,silver,silver,NA,gold,0,11,11
C1168,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,silver,gold,silver,gold,gold,gold,gold,silver,silver,silver,silver,silver,gold,silver,0,13,19
C0268,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,gold,quit,gold,quit,gold,gold,quit,gold,quit,quit,quit,quit,gold,quit,gold,quit,quit,gold,gold,quit,gold,quit,13,5,14
C2888,silver,silver,silver,silver,silver,gold,gold,gold,gold,silver,gold,quit,quit,quit,gold,gold,silver,quit,quit,NA,quit,NA,quit,NA,quit,NA,silver,quit,gold,quit,NA,gold,10,8,9
D2800,silver,silver,silver,silver,silver,gold,gold,silver,NA,gold,silver,gold,gold,quit,NA,NA,silver,NA,silver,silver,NA,silver,silver,NA,NA,quit,silver,gold,silver,silver,gold,silver,2,16,7
E1821,silver,silver,silver,silver,silver,gold,gold,silver,quit,gold,silver,gold,gold,NA,silver,silver,gold,silver,NA,NA,quit,silver,silver,NA,gold,quit,silver,quit,NA,NA,NA,NA,4,13,7
C2631,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,gold,gold,silver,gold,gold,silver,gold,NA,NA,NA,NA,NA,NA,silver,silver,silver,silver,NA,NA,NA,NA,0,11,11
D0572,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,quit,gold,NA,gold,gold,gold,gold,silver,NA,silver,NA,quit,quit,quit,gold,silver,NA,NA,NA,NA,gold,NA,5,8,11
C0976,silver,silver,silver,silver,silver,gold,gold,gold,gold,silver,silver,gold,gold,quit,gold,quit,gold,silver,silver,NA,quit,gold,gold,NA,quit,NA,silver,quit,quit,NA,gold,NA,6,10,11
C1225,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,silver,silver,silver,gold,silver,NA,silver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,7
